freq,citizen,sex,age,unit,geo\TIME_PERIOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FOR,T,Y_GE20,PC_POP,IS,NaN,NaN,NaN,1.5,0.9,1.4,1.3,1.0,0.3,NaN,0.5,1.6,1.8,2.2,2.4,2.6,2.4
A,FOR,T,Y_GE20,PC_POP,IT,1.1,1.2,1.4,1.3,1.3,1.1,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
A,FOR,T,Y_GE20,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.4,0.5,1.0
A,FOR,T,Y_GE20,PC_POP,LU,8.6,9.2,9.0,10.6,11.6,10.7,11.0,11.8,13.3,12.8,14.5,15.3,14.0,4.5,9.9,10.7,14.4
A,FOR,T,Y_GE20,PC_POP,LV,0.2,0.4,0.2,0.2,0.2,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.5,0.4,0.6,0.7
A,FOR,T,Y_GE20,PC_POP,ME,NaN,NaN,NaN,0.4,0.5,0.4,0.6,0.5,0.4,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN
A,FOR,T,Y_GE20,PC_POP,MK,NaN,NaN,0.0,0.0,0.1,0.1,0.0,NaN,0.1,0.0,NaN,0.0,0.1,NaN,NaN,NaN,NaN
A,FOR,T,Y_GE20,PC_POP,MT,0.2,0.3,0.4,0.2,0.4,0.7,1.0,1.4,1.0,3.6,6.5,9.4,8.4,7.5,8.5,12.3,11.2
A,FOR,T,Y_GE20,PC_POP,NL,0.7,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.7,0.9,1.1,1.2,1.0,2.4,1.9,2.3,2.6
A,FOR,T,Y_GE20,PC_POP,NO,2.1,2.5,2.8,3.3,4.0,4.5,3.6,4.3,3.6,3.4,4.5,3.4,3.4,2.1,2.3,2.5,2.6
A,FOR,T,Y_GE20,PC_POP,PL,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.4,0.1,0.2,0.5,0.8
A,FOR,T,Y_GE20,PC_POP,PT,1.1,1.1,1.0,0.7,0.5,0.5,0.5,0.4,0.5,0.5,0.7,1.3,1.4,0.5,1.2,2.3,2.3
A,FOR,T,Y_GE20,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1
A,FOR,T,Y_GE20,PC_POP,RS,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2
A,FOR,T,Y_GE20,PC_POP,SE,1.8,2.0,2.3,2.6,2.6,2.7,2.8,2.9,3.3,3.6,4.2,4.7,4.8,3.9,3.4,3.1,2.9
A,FOR,T,Y_GE20,PC_POP,SI,0.3,0.3,0.3,0.5,0.9,0.9,0.8,0.7,0.8,0.8,1.1,1.4,1.7,1.1,1.3,1.5,1.3
A,FOR,T,Y_GE20,PC_POP,SK,0.1,0.1,0.1,NaN,NaN,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,NaN,0.2,0.2,0.2
A,FOR,T,Y_GE20,PC_POP,UK,3.8,3.6,3.4,3.4,3.2,3.0,3.2,3.3,3.6,3.5,3.3,3.2,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y15-64,PC_POP,AT,1.8,1.6,1.3,1.2,1.4,1.4,1.5,1.8,2.2,2.1,1.9,1.9,1.9,1.7,1.9,2.4,2.8
A,NEU27_2020_FOR,F,Y15-64,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y15-64,PC_POP,BE,1.5,1.6,1.6,1.9,1.9,1.8,2.0,1.6,1.6,1.4,1.4,1.4,1.7,1.6,1.8,1.9,2.2
A,NEU27_2020_FOR,F,Y15-64,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y15-64,PC_POP,CH,2.6,2.7,2.0,2.0,2.8,3.0,3.0,2.6,2.9,2.8,2.8,2.7,2.8,2.7,2.6,2.5,2.6
A,NEU27_2020_FOR,F,Y15-64,PC_POP,CY,7.7,8.0,9.3,8.8,7.9,7.5,6.0,5.5,4.2,5.1,5.7,6.1,6.9,6.4,6.8,8.3,9.4
A,NEU27_2020_FOR,F,Y15-64,PC_POP,CZ,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.7,1.5,1.6
A,NEU27_2020_FOR,F,Y15-64,PC_POP,DE,1.1,1.1,0.7,0.7,0.8,0.9,1.0,1.2,1.8,2.1,2.4,2.4,2.0,2.5,3.1,4.1,4.6
A,NEU27_2020_FOR,F,Y15-64,PC_POP,DK,0.9,0.9,1.2,1.4,1.6,1.6,1.5,1.6,1.5,1.7,1.8,1.8,1.8,1.0,0.8,0.9,1.4
A,NEU27_2020_FOR,F,Y15-64,PC_POP,EA20,1.6,1.5,1.4,1.3,1.2,1.1,1.0,1.1,1.2,1.3,1.5,1.7,1.6,1.7,2.0,2.5,2.8
A,NEU27_2020_FOR,F,Y15-64,PC_POP,EE,NaN,NaN,NaN,0.3,0.3,NaN,NaN,NaN,0.3,0.4,0.4,0.6,0.8,1.4,1.3,2.9,4.6
A,NEU27_2020_FOR,F,Y15-64,PC_POP,EL,1.2,1.3,1.3,1.2,1.1,0.8,0.6,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0.1,0.2
A,NEU27_2020_FOR,F,Y15-64,PC_POP,ES,4.1,3.9,3.6,2.9,2.2,1.6,1.2,1.2,1.1,1.3,1.8,2.4,2.7,2.9,3.4,4.1,4.7
A,NEU27_2020_FOR,F,Y15-64,PC_POP,EU27_2020,1.2,1.2,1.1,1.1,1.0,0.9,0.9,1.0,1.1,1.2,1.3,1.5,1.5,1.5,1.7,2.1,2.4
A,NEU27_2020_FOR,F,Y15-64,PC_POP,FI,0.6,0.7,0.8,0.8,0.7,0.8,0.7,0.9,0.8,0.8,0.8,0.9,1.0,1.4,1.6,2.1,2.6
A,NEU27_2020_FOR,F,Y15-64,PC_POP,FR,1.1,1.0,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.2,1.2,1.3,1.3
A,NEU27_2020_FOR,F,Y15-64,PC_POP,HR,0.1,0.1,NaN,0.1,0.1,0.1,NaN,NaN,NaN,NaN,0.1,0.1,0.2,0.1,0.1,0.1,0.2
A,NEU27_2020_FOR,F,Y15-64,PC_POP,HU,NaN,0.1,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.2,0.3,0.3
A,NEU27_2020_FOR,F,Y15-64,PC_POP,IE,3.2,2.8,2.4,2.1,1.8,1.8,2.0,2.1,2.3,2.6,3.2,3.3,3.1,3.2,4.0,5.3,5.8
A,NEU27_2020_FOR,F,Y15-64,PC_POP,IS,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,0.7,0.7,1.2,1.3,1.4,1.3
A,NEU27_2020_FOR,F,Y15-64,PC_POP,IT,1.2,1.3,1.4,1.4,1.4,1.3,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0
A,NEU27_2020_FOR,F,Y15-64,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,0.2,0.2,0.2,0.4,0.6,1.4
A,NEU27_2020_FOR,F,Y15-64,PC_POP,LU,1.4,2.1,2.1,2.4,2.9,2.5,2.1,2.1,2.4,2.8,3.6,4.3,4.9,1.5,3.0,4.5,6.4
A,NEU27_2020_FOR,F,Y15-64,PC_POP,LV,0.2,0.4,NaN,NaN,NaN,0.3,NaN,0.5,0.3,0.3,0.4,0.4,0.5,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y15-64,PC_POP,ME,NaN,NaN,NaN,NaN,0.7,NaN,0.9,0.9,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y15-64,PC_POP,MK,NaN,NaN,NaN,0.1,0.1,0.1,0.1,NaN,0.1,0.1,NaN,0.1,0.1,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y15-64,PC_POP,MT,NaN,NaN,0.3,NaN,NaN,0.3,0.6,1.1,0.4,3.2,5.3,7.2,7.2,8.1,6.8,8.7,8.8
A,NEU27_2020_FOR,F,Y15-64,PC_POP,NL,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.8,1.0,1.2,1.1,1.9,1.6,2.0,2.4
A,NEU27_2020_FOR,F,Y15-64,PC_POP,NO,1.7,1.7,1.7,1.9,2.1,2.3,2.2,2.5,2.2,2.3,3.0,2.4,2.6,1.5,1.4,2.0,2.5
A,NEU27_2020_FOR,F,Y15-64,PC_POP,PL,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.2,0.2,0.3,0.4,0.5,0.4,0.1,0.3,0.8,1.2
A,NEU27_2020_FOR,F,Y15-64,PC_POP,PT,1.5,1.8,1.4,1.0,0.8,0.6,0.7,0.6,0.6,0.5,0.9,1.6,1.8,0.7,1.6,3.3,3.3
A,NEU27_2020_FOR,F,Y15-64,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1
A,NEU27_2020_FOR,F,Y15-64,PC_POP,RS,NaN,NaN,NaN,NaN,NaN,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,0.2,0.2
A,NEU27_2020_FOR,F,Y15-64,PC_POP,SE,1.6,1.8,2.2,2.4,2.5,2.6,2.9,3.0,3.2,3.5,4.1,4.5,4.7,3.8,3.3,3.3,3.1
A,NEU27_2020_FOR,F,Y15-64,PC_POP,SI,0.4,0.4,0.5,0.6,1.0,1.1,1.3,1.0,1.2,1.3,1.7,1.9,1.9,1.3,1.7,2.0,1.8
A,NEU27_2020_FOR,F,Y15-64,PC_POP,SK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y15-64,PC_POP,UK,2.5,2.3,2.1,2.1,2.1,2.0,1.9,1.8,1.9,2.0,2.0,2.1,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y20-64,PC_POP,AT,1.8,1.6,1.4,1.3,1.4,1.4,1.5,1.8,2.2,2.1,1.9,1.9,1.9,1.8,1.9,2.5,2.8
A,NEU27_2020_FOR,F,Y20-64,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y20-64,PC_POP,BE,1.6,1.7,1.6,1.9,2.0,1.9,2.1,1.6,1.6,1.4,1.4,1.5,1.8,1.7,1.9,2.0,2.3
A,NEU27_2020_FOR,F,Y20-64,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y20-64,PC_POP,CH,2.7,2.8,2.1,2.1,3.0,3.1,3.2,2.8,3.1,3.0,2.9,2.8,2.8,2.8,2.7,2.6,2.7
A,NEU27_2020_FOR,F,Y20-64,PC_POP,CY,8.3,8.7,10.1,9.6,8.6,8.1,6.5,5.9,4.4,5.3,6.1,6.3,7.2,6.8,7.1,8.7,9.7
A,NEU27_2020_FOR,F,Y20-64,PC_POP,CZ,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.7,1.4,1.6
A,NEU27_2020_FOR,F,Y20-64,PC_POP,DE,1.1,1.1,0.7,0.7,0.8,0.9,1.1,1.3,1.8,2.1,2.3,2.4,2.1,2.5,3.1,4.0,4.5
A,NEU27_2020_FOR,F,Y20-64,PC_POP,DK,0.9,0.9,1.2,1.4,1.7,1.7,1.6,1.7,1.6,1.8,1.9,1.8,1.9,1.0,0.9,1.0,1.4
A,NEU27_2020_FOR,F,Y20-64,PC_POP,EA20,1.5,1.5,1.4,1.3,1.2,1.1,1.0,1.1,1.2,1.3,1.5,1.7,1.7,1.8,2.0,2.5,2.8
A,NEU27_2020_FOR,F,Y20-64,PC_POP,EE,NaN,NaN,NaN,0.3,0.4,NaN,NaN,NaN,0.3,0.5,0.4,0.6,0.8,1.4,1.4,2.9,4.7
A,NEU27_2020_FOR,F,Y20-64,PC_POP,EL,1.2,1.4,1.3,1.2,1.1,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2
A,NEU27_2020_FOR,F,Y20-64,PC_POP,ES,4.0,3.8,3.6,2.8,2.1,1.6,1.1,1.2,1.1,1.3,1.8,2.4,2.7,2.9,3.5,4.1,4.7
A,NEU27_2020_FOR,F,Y20-64,PC_POP,EU27_2020,1.2,1.2,1.1,1.1,1.0,0.9,0.9,1.0,1.1,1.2,1.3,1.5,1.5,1.5,1.7,2.2,2.4
A,NEU27_2020_FOR,F,Y20-64,PC_POP,FI,0.6,0.7,0.8,0.8,0.8,0.9,0.7,0.9,0.8,0.8,0.9,0.9,1.1,1.5,1.6,2.2,2.7
A,NEU27_2020_FOR,F,Y20-64,PC_POP,FR,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.5,1.2,1.3,1.3,1.3
A,NEU27_2020_FOR,F,Y20-64,PC_POP,HR,0.1,0.1,NaN,0.1,0.1,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.2,0.1,0.1,0.1,0.2
A,NEU27_2020_FOR,F,Y20-64,PC_POP,HU,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.2,0.3,0.3
A,NEU27_2020_FOR,F,Y20-64,PC_POP,IE,3.3,2.9,2.5,2.2,1.9,1.9,2.1,2.2,2.5,2.7,3.3,3.5,3.3,3.4,4.3,5.7,6.3
A,NEU27_2020_FOR,F,Y20-64,PC_POP,IS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7,0.8,1.3,1.3,1.5,1.4
A,NEU27_2020_FOR,F,Y20-64,PC_POP,IT,1.1,1.2,1.4,1.4,1.4,1.2,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,1.0
A,NEU27_2020_FOR,F,Y20-64,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,0.2,0.2,0.2,0.4,0.6,1.4
A,NEU27_2020_FOR,F,Y20-64,PC_POP,LU,1.4,2.0,2.3,2.4,3.0,2.7,2.2,2.3,2.5,2.8,3.8,4.5,5.2,1.5,3.1,4.7,6.6
A,NEU27_2020_FOR,F,Y20-64,PC_POP,LV,0.2,0.5,NaN,NaN,NaN,0.3,NaN,0.5,0.3,0.3,0.4,0.3,0.4,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y20-64,PC_POP,ME,NaN,NaN,NaN,NaN,0.8,NaN,0.9,1.0,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y20-64,PC_POP,MK,NaN,NaN,NaN,0.1,0.1,0.1,0.1,NaN,0.1,0.1,NaN,0.1,0.1,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y20-64,PC_POP,MT,NaN,NaN,NaN,NaN,NaN,0.3,0.7,1.1,0.4,3.4,5.7,7.3,7.4,8.0,6.9,9.1,9.2
A,NEU27_2020_FOR,F,Y20-64,PC_POP,NL,0.7,0.6,0.5,0.6,0.7,0.7,0.6,0.7,0.7,0.8,1.0,1.1,1.1,2.0,1.6,2.0,2.4
A,NEU27_2020_FOR,F,Y20-64,PC_POP,NO,1.6,1.8,1.8,2.1,2.3,2.4,2.2,2.6,2.3,2.4,3.0,2.5,2.7,1.5,1.5,2.1,2.6
A,NEU27_2020_FOR,F,Y20-64,PC_POP,PL,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.2,0.2,0.3,0.4,0.5,0.5,0.1,0.3,0.8,1.2
A,NEU27_2020_FOR,F,Y20-64,PC_POP,PT,1.4,1.7,1.4,1.0,0.7,0.6,0.6,0.6,0.6,0.6,0.9,1.6,1.9,0.7,1.6,3.3,3.3
A,NEU27_2020_FOR,F,Y20-64,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2
A,NEU27_2020_FOR,F,Y20-64,PC_POP,RS,NaN,NaN,NaN,NaN,NaN,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,0.2,0.2
A,NEU27_2020_FOR,F,Y20-64,PC_POP,SE,1.7,1.8,2.2,2.4,2.5,2.6,2.9,2.9,3.2,3.5,4.2,4.6,4.8,3.9,3.5,3.3,3.2
A,NEU27_2020_FOR,F,Y20-64,PC_POP,SI,0.3,0.4,0.5,0.6,1.1,1.1,1.2,1.0,1.2,1.3,1.7,1.8,1.9,1.3,1.6,1.9,1.7
A,NEU27_2020_FOR,F,Y20-64,PC_POP,SK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y20-64,PC_POP,UK,2.5,2.4,2.1,2.2,2.2,2.0,1.9,1.9,2.0,2.0,2.1,2.2,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,AT,1.4,1.2,1.1,1.0,1.1,1.1,1.2,1.4,1.7,1.6,1.5,1.5,1.5,1.4,1.5,1.9,2.2
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,BE,1.3,1.3,1.3,1.6,1.6,1.5,1.6,1.3,1.2,1.1,1.1,1.1,1.3,1.2,1.4,1.5,1.7
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,CH,2.0,2.1,1.6,1.6,2.2,2.3,2.3,2.0,2.3,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,CY,6.6,6.9,8.0,7.5,6.8,6.4,5.2,4.5,3.5,4.2,4.7,4.9,5.6,5.2,5.4,6.6,7.6
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,CZ,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.5,1.1,1.2
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,DE,0.9,0.8,0.5,0.5,0.6,0.7,0.8,0.9,1.4,1.6,1.8,1.8,1.5,1.8,2.3,3.1,3.5
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,DK,0.7,0.7,0.9,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.3,1.3,0.7,0.6,0.7,1.0
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,EA20,1.2,1.2,1.1,1.0,0.9,0.9,0.8,0.8,0.9,1.0,1.1,1.3,1.2,1.3,1.5,1.9,2.1
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,EE,NaN,NaN,NaN,0.3,0.4,0.3,0.2,NaN,0.2,0.4,0.3,0.5,0.6,1.0,1.0,2.2,3.5
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,EL,0.9,1.0,1.0,0.9,0.8,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,ES,3.3,3.1,2.9,2.3,1.7,1.2,1.0,1.0,0.9,1.0,1.4,1.9,2.2,2.3,2.8,3.3,3.8
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,EU27_2020,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.8,0.9,1.0,1.1,1.1,1.1,1.3,1.6,1.9
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,FI,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.7,0.6,0.6,0.6,0.6,0.7,1.0,1.1,1.5,1.9
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,FR,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.1,0.9,0.9,1.0,1.0
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,HR,0.1,0.1,NaN,0.1,0.1,0.1,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,HU,NaN,0.1,NaN,0.1,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.2,0.2
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,IE,2.8,2.5,2.1,1.9,1.6,1.6,1.7,1.7,2.0,2.2,2.6,2.7,2.6,2.6,3.3,4.4,4.8
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,IS,NaN,NaN,NaN,NaN,NaN,NaN,0.4,NaN,NaN,NaN,NaN,0.6,0.6,1.0,1.0,1.1,1.1
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,IT,0.9,1.0,1.0,1.0,1.1,1.0,0.8,0.8,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.2,0.2,0.2,0.2,0.3,0.5,1.0
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,LU,1.1,1.7,1.8,2.0,2.4,2.2,1.8,1.8,2.3,2.4,3.2,3.6,4.2,1.2,2.5,3.8,5.5
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,LV,0.2,0.4,0.2,NaN,0.2,0.3,0.3,0.5,0.3,0.2,0.3,0.3,0.3,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,ME,NaN,NaN,NaN,NaN,0.6,NaN,0.7,0.7,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,MK,NaN,NaN,NaN,0.1,0.1,0.1,0.1,NaN,0.1,0.1,NaN,0.1,0.1,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,MT,NaN,NaN,0.3,NaN,NaN,0.3,0.6,1.0,0.3,2.5,4.2,5.7,5.9,6.4,5.4,6.9,6.9
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,NL,0.6,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.7,0.9,0.9,1.5,1.2,1.5,1.9
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,NO,1.5,1.5,1.5,1.7,1.9,2.0,1.8,2.0,1.8,1.8,2.4,1.9,2.1,1.1,1.1,1.5,1.9
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,PL,NaN,NaN,NaN,NaN,NaN,0.0,NaN,0.1,0.2,0.2,0.3,0.4,0.3,0.1,0.2,0.6,0.9
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,PT,1.2,1.4,1.1,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.7,1.2,1.3,0.5,1.2,2.4,2.4
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,RS,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,0.1,0.1
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,SE,1.3,1.4,1.7,1.9,1.9,2.0,2.2,2.2,2.4,2.6,3.1,3.4,3.6,2.9,2.5,2.5,2.4
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,SI,0.3,0.3,0.4,0.5,0.8,0.9,1.0,0.7,0.9,1.0,1.3,1.4,1.4,1.0,1.2,1.5,1.4
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,SK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE15,PC_POP,UK,2.0,1.9,1.7,1.7,1.7,1.6,1.5,1.4,1.5,1.5,1.5,1.6,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,AT,1.4,1.2,1.1,1.0,1.1,1.1,1.1,1.4,1.7,1.6,1.5,1.4,1.5,1.4,1.5,1.9,2.2
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,BE,1.3,1.4,1.3,1.6,1.6,1.5,1.7,1.2,1.2,1.1,1.1,1.1,1.3,1.3,1.4,1.5,1.7
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,CH,2.1,2.1,1.6,1.6,2.3,2.4,2.4,2.1,2.4,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,CY,7.0,7.3,8.6,8.1,7.2,6.8,5.5,4.8,3.6,4.3,4.8,5.0,5.8,5.4,5.6,6.9,7.8
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,CZ,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.5,1.0,1.1
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,DE,0.8,0.8,0.5,0.5,0.6,0.7,0.8,0.9,1.3,1.6,1.7,1.7,1.5,1.8,2.3,3.0,3.4
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,DK,0.7,0.7,0.9,1.1,1.3,1.3,1.2,1.3,1.2,1.3,1.4,1.4,1.4,0.7,0.7,0.7,1.1
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,EA20,1.2,1.2,1.1,1.0,0.9,0.8,0.8,0.8,0.9,1.0,1.1,1.2,1.3,1.3,1.5,1.9,2.1
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,EE,NaN,NaN,NaN,0.3,0.4,0.4,0.2,NaN,0.2,0.4,0.3,0.5,0.6,1.0,1.0,2.2,3.5
A,NEU27_2020_FOR,F,Y_GE20,PC_POP,EL,0.9,1.0,1.0,0.9,0.8,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1
